steps,rewards,times
46700000,-50.0,2023-05-08 12:55:12.053284
46750000,-50.0,2023-05-08 12:55:15.105284
46800000,-50.0,2023-05-08 12:55:18.217786
46850000,-50.0,2023-05-08 12:55:21.554285
46900000,-50.0,2023-05-08 12:55:24.645285
46950000,-45.0,2023-05-08 12:55:27.814786
47000000,-50.0,2023-05-08 12:55:31.097287
47050000,-50.0,2023-05-08 12:55:34.112284
47100000,-49.9,2023-05-08 12:55:37.270284
47150000,-50.0,2023-05-08 12:55:40.518784
47200000,-50.0,2023-05-08 12:55:43.606287
47250000,-50.0,2023-05-08 12:55:46.631786
47300000,-50.0,2023-05-08 12:55:49.752785
47350000,-50.0,2023-05-08 12:55:53.211785
47400000,-50.0,2023-05-08 12:55:56.246785
47450000,-50.0,2023-05-08 12:55:59.166286
47500000,-50.0,2023-05-08 12:56:02.180286
47550000,-45.0,2023-05-08 12:56:05.080285
47600000,-50.0,2023-05-08 12:56:08.178786
47650000,-50.0,2023-05-08 12:56:11.205285
47700000,-50.0,2023-05-08 12:56:14.321285
47750000,-50.0,2023-05-08 12:56:17.319785
47800000,-50.0,2023-05-08 12:56:20.412785
47850000,-50.0,2023-05-08 12:56:23.379286
47900000,-50.0,2023-05-08 12:56:26.431285
47950000,-50.0,2023-05-08 12:56:29.624784
48000000,-50.0,2023-05-08 12:56:32.822787
48050000,-50.0,2023-05-08 12:56:36.056284
48100000,-50.0,2023-05-08 12:56:39.250286
48150000,-50.0,2023-05-08 12:56:42.544784
48200000,-50.0,2023-05-08 12:56:45.789286
48250000,-50.0,2023-05-08 12:56:48.869785
48300000,-50.0,2023-05-08 12:56:52.249784
48350000,-50.0,2023-05-08 12:56:55.421784
48400000,-50.0,2023-05-08 12:56:58.405285
48450000,-50.0,2023-05-08 12:57:01.600785
48500000,-50.0,2023-05-08 12:57:04.920285
48550000,-50.0,2023-05-08 12:57:07.967786
48600000,-50.0,2023-05-08 12:57:10.891284
48650000,-50.0,2023-05-08 12:57:14.133784
48700000,-50.0,2023-05-08 12:57:17.333786
48750000,-50.0,2023-05-08 12:57:20.298784
48800000,-50.0,2023-05-08 12:57:23.626784
48850000,-50.0,2023-05-08 12:57:26.849284
48900000,-50.0,2023-05-08 12:57:29.966784
48950000,-50.0,2023-05-08 12:57:33.027784
49000000,-50.0,2023-05-08 12:57:36.016784
49050000,-50.0,2023-05-08 12:57:38.944785
49100000,-50.0,2023-05-08 12:57:42.003287
49150000,-50.0,2023-05-08 12:57:45.246785
49200000,-50.0,2023-05-08 12:57:48.247286
49250000,-50.0,2023-05-08 12:57:51.380787
49300000,-50.0,2023-05-08 12:57:54.606286
49350000,-50.0,2023-05-08 12:57:57.920287
49400000,-50.0,2023-05-08 12:58:01.014284
49450000,-50.0,2023-05-08 12:58:04.188286
49500000,-50.0,2023-05-08 12:58:07.164284
49550000,-50.0,2023-05-08 12:58:10.159785
49600000,-50.0,2023-05-08 12:58:13.368285
49650000,-50.0,2023-05-08 12:58:16.783285
49700000,-50.0,2023-05-08 12:58:19.851284
49750000,-50.0,2023-05-08 12:58:22.864784
49800000,-50.0,2023-05-08 12:58:26.026786
49850000,-50.0,2023-05-08 12:58:29.268284
49900000,-50.0,2023-05-08 12:58:32.372285
49950000,-50.0,2023-05-08 12:58:35.498786
50000000,-50.0,2023-05-08 12:58:38.533784
50050000,-50.0,2023-05-08 12:58:41.552284
50100000,-50.0,2023-05-08 12:58:44.574786
50150000,-50.0,2023-05-08 12:58:47.840785
50200000,-50.0,2023-05-08 12:58:50.875284
50250000,-50.0,2023-05-08 12:58:53.941288
50300000,-50.0,2023-05-08 12:58:57.151288
50350000,-50.0,2023-05-08 12:59:00.289284
50400000,-50.0,2023-05-08 12:59:03.400284
50450000,-50.0,2023-05-08 12:59:06.700283
50500000,-50.0,2023-05-08 12:59:09.874786
50550000,-50.0,2023-05-08 12:59:12.931284
50600000,-50.0,2023-05-08 12:59:15.942284
50650000,-50.0,2023-05-08 12:59:19.072785
50700000,-50.0,2023-05-08 12:59:22.098785
50750000,-50.0,2023-05-08 12:59:25.152785
50800000,-50.0,2023-05-08 12:59:28.388784
50850000,-50.0,2023-05-08 12:59:31.397284
50900000,-50.0,2023-05-08 12:59:34.654285
50950000,-50.0,2023-05-08 12:59:37.833784
51000000,-50.0,2023-05-08 12:59:40.796784
51050000,-50.0,2023-05-08 12:59:43.789284
51100000,-50.0,2023-05-08 12:59:46.966784
51150000,-50.0,2023-05-08 12:59:50.199786
51200000,-50.0,2023-05-08 12:59:53.326287
51250000,-50.0,2023-05-08 12:59:56.556284
51300000,-50.0,2023-05-08 13:00:00.025787
51350000,-50.0,2023-05-08 13:00:03.353784
51400000,-50.0,2023-05-08 13:00:06.542285
51450000,-50.0,2023-05-08 13:00:09.749788
51500000,-50.0,2023-05-08 13:00:12.899785
51550000,-50.0,2023-05-08 13:00:15.875785
51600000,-50.0,2023-05-08 13:00:19.302785
51650000,-50.0,2023-05-08 13:00:22.504284
51700000,-50.0,2023-05-08 13:00:25.550785
51750000,-50.0,2023-05-08 13:00:28.473785
51800000,-50.0,2023-05-08 13:00:31.621286
51850000,-50.0,2023-05-08 13:00:34.821287
51900000,-50.0,2023-05-08 13:00:37.961787
51950000,-50.0,2023-05-08 13:00:41.130785
52000000,-50.0,2023-05-08 13:00:44.216784
52050000,-50.0,2023-05-08 13:00:47.568787
52100000,-50.0,2023-05-08 13:00:50.779286
52150000,-50.0,2023-05-08 13:00:53.932285
52200000,-50.0,2023-05-08 13:00:57.017784
52250000,-50.0,2023-05-08 13:01:00.171785
52300000,-50.0,2023-05-08 13:01:03.289286
52350000,-50.0,2023-05-08 13:01:06.305285
52400000,-45.0,2023-05-08 13:01:09.544288
52450000,-50.0,2023-05-08 13:01:12.648786
52500000,-50.0,2023-05-08 13:01:15.767284
52550000,-50.0,2023-05-08 13:01:18.971784
52600000,-50.0,2023-05-08 13:01:22.110785
52650000,-50.0,2023-05-08 13:01:25.149787
52700000,-50.0,2023-05-08 13:01:28.147786
52750000,-50.0,2023-05-08 13:01:31.563287
52800000,-50.0,2023-05-08 13:01:34.638284
52850000,-45.0,2023-05-08 13:01:37.806286
52900000,-45.0,2023-05-08 13:01:41.028784
52950000,-50.0,2023-05-08 13:01:44.072284
53000000,-50.0,2023-05-08 13:01:47.218784
53050000,-50.0,2023-05-08 13:01:50.364785
53100000,-50.0,2023-05-08 13:01:53.513784
53150000,-50.0,2023-05-08 13:01:56.488785
53200000,-50.0,2023-05-08 13:01:59.822787
53250000,-50.0,2023-05-08 13:02:02.838787
53300000,-50.0,2023-05-08 13:02:05.857785
53350000,-50.0,2023-05-08 13:02:09.047286
53400000,-50.0,2023-05-08 13:02:12.510286
53450000,-50.0,2023-05-08 13:02:16.069784
53500000,-50.0,2023-05-08 13:02:19.623285
53550000,-50.0,2023-05-08 13:02:23.064787
53600000,-50.0,2023-05-08 13:02:26.447285
